fromNode	toNode	weight	direction	fromAltName	toAltName
ORF158	AT4G08400	0.186964770315445	undirected	NA	NA
ORF158	AT4G04820	0.204318054224909	undirected	NA	NA
ORF158	AT4G04430	0.115877738841643	undirected	NA	NA
ORF158	AT4G03650	0.16752456259259	undirected	NA	NA
ORF158	AT1G22130	0.0916186829236534	undirected	NA	NA
ORF158	AT3G32120	0.0483085147429528	undirected	NA	NA
ORF158	AT3G28120	0.0258057253430336	undirected	NA	NA
ORF158	AT3G01080	0.0103965845338475	undirected	NA	NA
ORF158	AT1G41797	0.0349635367230598	undirected	NA	NA
ORF158	AT1G43840	0.138573229664643	undirected	NA	NA
ORF158	AT1G32830	0.134003155338164	undirected	NA	NA
ORF158	AT1G27790	0.0845010856880344	undirected	NA	NA
ORF158	AT2G07721	0.131435525410524	undirected	NA	NA
ORF158	AT2G45110	0.0180916344096144	undirected	NA	NA
ORF158	AT2G29790	0.194508357302682	undirected	NA	NA
ORF158	AT2G02610	0.029863815907054	undirected	NA	NA
ORF158	ORF100A	0.132343946425662	undirected	NA	NA
ORF158	ORF143	0.389376489122151	undirected	NA	NA
ORF158	ORF127	0.0772137327172299	undirected	NA	NA
ORF158	NDHF	0.429597521683054	undirected	NA	NA
ORF158	RPS14	0.451126490436791	undirected	NA	NA
ORF158	AT3G33080	0.471089700105961	undirected	NA	NA
ORF158	AT3G29791	0.385471088353503	undirected	NA	NA
ORF158	AT1G56530	0.442616939325814	undirected	NA	NA
ORF158	AT5G19360	0.181568344271309	undirected	NA	NA
ORF158	AT1G39190	0.143001067602333	undirected	NA	NA
ORF158	AT5G34895	0.409364753438495	undirected	NA	NA
ORF158	AT5G34990	0.0732187589778402	undirected	NA	NA
ORF158	AT5G29010	0.310943049300932	undirected	NA	NA
ORF158	AT5G27310	0.237631463153788	undirected	NA	NA
ORF158	AT5G63720	0.0516206191882083	undirected	NA	NA
ORF158	AT5G60770	0.393320004445616	undirected	NA	NA
ORF158	AT5G51930	0.0162031526116096	undirected	NA	NA
ORF158	AT5G46810	0.136821321848535	undirected	NA	NA
ORF158	AT5G44570	0.0266922765876764	undirected	NA	NA
ORF158	AT5G41730	0.0266990776345505	undirected	NA	NA
ORF158	AT5G40560	0.42245621256224	undirected	NA	NA
ORF158	AT5G35880	0.356982586029353	undirected	NA	NA
ORF158	AT5G09700	0.223548579325966	undirected	NA	NA
ORF158	AT5G06900	0.434147393917426	undirected	NA	NA
ORF158	AT3G52830	0.366484099732482	undirected	NA	NA
ORF158	AT3G45810	0.35200043265506	undirected	NA	NA
ORF158	AT3G45940	0.183443920727521	undirected	NA	NA
ORF158	AT3G45500	0.180243885164218	undirected	NA	NA
ORF158	AT3G44470	0.0570879710308462	undirected	NA	NA
ORF158	AT3G44500	0.291408013589209	undirected	NA	NA
ORF158	AT4G28960	0.301948317688906	undirected	NA	NA
ORF158	AT4G26820	0.198638738747956	undirected	NA	NA
ORF158	AT4G26330	0.0126145252535627	undirected	NA	NA
