ID,Zygotic_r1,Zygotic_r2,Day7_r1,Day7_r2,Day14_r1,Day14_r2,Somatic_r1,Somatic_r2
AT2G37420,205.4998614,224.7419746,93.21086655,148.6582798,78.89607006,44.62050755,196.615883,75.26300711
AT2G37430,1.485959846,1.469495363,120.6694395,70.97745276,18.24645182,7.003263653,1.542006645,8.225855779
AT2G37440,26.69299819,41.66528451,4.839063357,17.25183003,1.11957102,12.17996669,11.73658939,7.048603386
AT2G07741,476.6783497,239.1649952,1175.125844,1229.010324,449.1811351,877.499036,388.7886929,302.1873682
AT2G07702,3.014699368,4.152063269,83.68996477,90.29442388,88.96862038,144.6002472,40.03938151,39.09605378
AT2G07722,93.09588054,93.72164203,413.1849424,443.6672369,167.4425428,511.242346,95.03169959,122.4718912
AT2G24190,397.8204514,295.9362957,813.0812177,818.6562548,820.8810703,837.267143,1319.680466,1454.593381
AT2G18670,293.1428323,401.8591894,467.8940496,395.345218,303.0981931,323.2176364,179.1696033,212.8443296
AT2G18690,31.60351154,10.6316262,262.5508944,338.7247326,231.5395871,250.0788286,70.64997502,108.4705151
AT2G18710,691.60097,1158.99879,860.5906729,907.2157324,715.6370236,1290.090302,912.1181459,1370.072724
AT2G18750,49.83990241,66.06793474,39.68150348,40.2546954,153.3598555,157.8895457,174.8094089,119.754937
AT2G05900,23.20818352,9.368739476,7.05217227,20.94485372,4.118218949,22.28853894,22.04026376,33.13508383
AT2G05910,317.1469007,134.9998661,69.69299268,102.9327895,75.35477354,109.0301898,397.9025433,260.6710513
AT2G05920,7000.929007,6749.263285,6491.076169,5965.359681,4303.827612,4809.212998,4673.469002,4882.561146
AT2G05930,0.538792905,13.9173795,4.465881171,15.27851293,5.552684943,23.87097854,6.318163661,23.44520315
AT2G05950,6.621396191,7.292115809,1.532982057,0.521021227,1.684242964,2.106203292,5.638962778,2.176220678
AT2G05960,2.567975627,1.12558228,2.26899332,0.893761329,0.492439185,0.773104451,0.37956294,1.200014675
AT2G05980,12.96428191,2.578947652,10.81449994,5.903333391,6.751219758,31.14031606,2.745427075,6.981963898
AT2G05820,5.211229634,2.222567523,4.580890064,1.09455133,11.68848993,3.404508752,8.802392286,3.270721848
AT2G06000,115.5621982,104.7250186,117.3921099,163.5779673,207.8885036,262.4575153,177.8671843,126.0588631
AT2G05850,1.823015548,4.526076074,2.371672908,2.137374077,15.31079947,4.340391866,1.638910488,7.253003323
AT2G05870,2.136023753,9.911781251,1.652786413,4.080334116,1.035153353,22.2048368,10.51883518,2.123738343
AT2G05880,1.340650929,2.143374636,1.604725337,0.9283181,0.753928994,1.891764123,1.164338149,0.879836016
AT2G05890,25.9309364,41.95735542,81.39343017,26.18459673,30.95481079,57.32716382,12.79624251,52.56929924
