"header","Zygotic_r1","Zygotic_r2","Day7_r1","Day7_r2","Day14_r1","Day14_r2","Somatic_r1","Somatic_r2"
"AT3G43630",31.99321893,35.54017939,45.99398243,8.955337578,5.721341108,3.263195035,11.77952017,76.78640853
"AT3G43650",0.526409701,6.821268889,1.054889556,0.928137702,0.735843403,0.702760042,0.437877345,1.485301279
"AT3G43690",56.71220686,64.44315689,81.49183799,171.9008979,236.166239,280.2502491,167.4921724,107.7327738
"AT3G43860",32.79072862,29.58253341,23.15012391,14.59282352,10.13009309,5.407454602,5.752506866,7.75065288
"AT3G43880",17.73826608,7.456311259,11.67303533,6.012768534,0.409947628,1.585479275,9.752091931,8.679563996
"AT3G43080",17.32007429,13.9359766,4.409600985,3.496998281,1.910238144,3.636308686,0.785515204,4.598679843
"AT3G43160",32.95437227,10.98818163,38.87970046,37.19630803,69.12123266,123.3646406,29.05675373,14.74771115
"AT3G43420",9.554448333,9.443002941,1.024289283,20.01491785,1.993471994,1.665419114,13.4065245,4.171112282
"AT3G42680",16.92912122,9.706433656,2.887275888,14.68818913,2.551978561,1.024927203,3.0259308,2.875049684
"AT3G42340",0.590027381,0.672588344,2.441913475,2.107080157,5.43917529,1.134035823,0.559694043,2.122288849
"AT3G42350",1.571212969,2.139967298,0.82046906,0.663110692,0.479663582,0.358822003,1.340046572,1.500432797
"AT3G42110",12.21795722,20.25867551,7.431227195,1.793451796,1.03846604,6.390606887,1.018966162,11.66730914
"AT4G39970",306.5700549,350.7269339,120.7591938,77.8100164,9.674743927,26.31092246,100.0242208,135.1034481
"AT4G39350",2053.790985,1978.993721,576.0771903,785.8846968,417.3943178,397.0940129,950.2301407,1117.616319
"AT4G39420",14.79860357,28.61417034,23.65882759,28.5951946,4.887140249,2.674639452,19.60520515,16.01678266
"AT4G39550",103.1032629,88.88785892,135.4006232,143.5995736,396.1753332,424.1199005,370.6259285,172.6502288
"AT4G39720",42.67854198,37.879465,120.732861,111.1418038,172.112365,233.4182662,186.5272758,328.403897
"AT4G39590",24.31594395,9.836125047,29.86155666,13.39293706,3.414410004,2.967151142,7.104830913,2.501587796
"AT4G38380",33.72474477,58.82710098,82.84706257,110.1608896,238.7809829,281.7748111,108.4647061,128.3791146
"AT4G38410",317.366467,214.4588251,1275.743796,428.5700012,1420.177529,1539.089246,1466.363314,731.7186218
"AT4G38440",154.4025696,148.4569611,374.5437367,480.0800592,862.8689062,748.9349011,403.9342367,402.8289685
"AT4G38470",1109.667137,831.9264794,280.1904639,267.2857514,151.0215364,170.7077535,548.5770285,467.2885704
"AT4G37750",761.9218671,921.0460735,179.2948693,269.8662423,61.85434557,67.36028198,1241.372147,1175.045006
"AT4G37800",7.281878219,3.840984807,16.26421943,15.46711658,30.10087769,25.55094267,1948.298961,1276.181467
"AT4G37710",10.7167119,1.724813622,4.931492124,10.97965436,19.24085267,37.96568779,15.87739542,39.02242896
"AT4G37610",387.2107473,275.7432758,130.7515132,47.1115265,41.49352727,40.7044437,744.0750751,373.1882457
