,z1_counts,z2_counts,o1_counts,o2_counts,g1_counts,g2_counts,h1_counts,h2_counts,t1_counts,t2_counts,b1_counts,b2_counts,m1_counts,m2_counts
AT2G40100,49.45365349,100.2678626,315.7129524,234.2202021,236.9127894,173.0797486,797.1582516,848.7313093,4358.976293,2710.745356,3905.920796,3069.129405,53.1925379,112.5014277
AT4G10340,89.21051218,253.6187114,529.283479,540.5081587,1684.713169,912.4866157,4976.199995,6870.920329,28682.65439,23582.51067,17070.9864,7435.844299,0,305.2212646
AT1G15820,10825.50172,8425.449517,4592.540129,2231.848272,2513.907932,2840.544109,14643.25357,13113.29907,31605.03805,31864.08122,26787.47004,11487.69171,10.95140486,377.6134876
AT5G40780,168.7242296,166.6215953,372.9746153,499.9700468,131.6182164,61.08697009,196.2700241,141.1215974,68.87772924,92.19780611,157.3155672,167.3769276,1706.854672,2033.830158
AT1G24400,24.24198701,11.79621913,126.904226,121.6143357,65.80910818,26.72554942,0,0,0,0,14.60787409,6.628789213,4.693459227,2.934819852
AT4G35180,96.96794802,73.72636959,335.831915,209.4469115,6.580910818,7.635871262,25.66608007,18.01552308,0,0.649280325,0,0,42.24113304,36.19611151
AT2G27230,294.782562,378.9535397,464.2837535,526.9954548,427.7592032,570.1450542,1795.115836,1441.241846,1049.565398,1152.472576,651.7359211,361.2690121,92.30469812,100.7621483
AT1G01060,4.848397401,7.372636959,23.21418768,20.26905595,13.16182164,40.72464673,904.3518801,1723.485041,321.4294031,332.4315262,1115.816844,954.5456466,15.64486409,31.30474509
AT1G08130,35.87814077,51.60845871,324.2248212,513.4827508,368.5310058,92.90310035,735.2577056,989.8529068,1282.437721,901.2010907,400.0310136,517.0455586,392.6860886,446.0926175
AT1G66730,6.787756361,11.79621913,6.964256303,4.504234656,13.16182164,10.18116168,149.4671722,126.1086615,91.83697232,163.6186418,91.01829243,74.57387864,12.51589127,8.804459557
AT4G17600,329.6910233,328.8196084,1089.519208,1515.674962,2869.277117,1914.058396,2980.284827,7257.253212,4250.739862,3716.480579,858.4935237,621.4489887,730.6151529,1960.459661
AT1G03475,95.99826854,175.4687596,495.2360038,882.8299926,651.510171,426.3361454,1194.227608,1452.251332,5142.87045,5885.726143,2814.82497,1420.218089,599.1982946,787.5099937
